,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
84,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
85,Yeah,Yeah,No,In particular article,Rarely / never,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
86,Yeah,Yeah,No,In all materials,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
87,No,No,Yeah,In all materials,Rarely / never,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
88,No,Yeah,No,In all materials,Rarely / never,Average,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
89,No,Yeah,Yeah,In all materials,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dysgraphie
90,No,Yeah,Yeah,In all materials,Sometimes,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dyslexie
91,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dyscalculie
92,No,Yeah,Yeah,In all materials,Repeatedly / always,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
93,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dyscalculie
94,No,Yeah,No,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
95,Yeah,Yeah,No,In particular article,Sometimes,Average,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
96,No,Yeah,No,In particular article,Repeatedly / always,Average,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Type_dyscalculie
97,No,Yeah,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dysgraphie
98,No,Yeah,No,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
99,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
100,Yeah,Yeah,No,In particular article,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dyslexie
101,No,Yeah,No,In all materials,Repeatedly / always,Slow,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
102,No,Yeah,No,In all materials,Sometimes,Fast,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
103,No,Yeah,No,In particular article,Rarely / never,Slow,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Type_dysgraphie
104,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Type_dyslexie
105,No,Yeah,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Concentration
106,No,No,Yeah,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Type_dyscalculie
107,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Type_dysgraphie
108,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
109,Yeah,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
110,Yeah,Yeah,No,In particular article,Rarely / never,Fast,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Concentration
111,No,No,No,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
112,No,Yeah,No,In particular article,Repeatedly / always,Fast,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
113,No,No,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyscalculie
114,No,Yeah,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
115,Yeah,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
116,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
117,Yeah,No,Yeah,In particular article,Rarely / never,Slow,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
118,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
119,No,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
120,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
121,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
122,Yeah,Yeah,No,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
123,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dyslexie
124,No,No,No,In all materials,Repeatedly / always,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Type_dyslexie
125,Yeah,No,Yeah,In particular article,Sometimes,Average,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
126,Yeah,Yeah,No,In all materials,Repeatedly / always,Fast,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
127,No,Yeah,No,In particular article,Rarely / never,Slow,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
128,No,No,No,In all materials,Sometimes,Slow,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
129,Yeah,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
130,Yeah,No,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
131,No,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dysgraphie
132,Yeah,Yeah,No,In all materials,Sometimes,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
133,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
134,Yeah,No,Yeah,In particular article,Rarely / never,Slow,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
135,No,Yeah,No,In particular article,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
136,No,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
137,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
138,Yeah,No,No,In all materials,Sometimes,Fast,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
139,No,Yeah,No,In particular article,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Type_dyslexie
